星空卫视[768*576][768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/startv
北京IPTV萌宠TV[1920*1080][1920*1080],http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226555/1.m3u8

北京IPTV4k超清[3840*2160][3840*2160],http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226550/1.m3u8

北京IPTV淘电影[1920*1080][1920*1080],http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8

北京IPTV淘剧场[1920*1080][1920*1080],http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226553/1.m3u8

翡翠台1[427*240][427*240],http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=2&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=.m3u8&Fsv_CMSID=&Fsv_otype=1

星空音乐[768*576][768*576],rtmp://58.200.131.3:1935/livetv/channelv

耀才財經台1[1024*576][1024*576],http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8

澳门卫视[1280*720][1280*720],http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8

澳视资讯[1280*720][1280*720],http://61.244.22.5/ch5/info_ch5.live/master.m3u8

凤凰资讯[1280*720][1280*720],http://117.169.120.138:8080/live/fhzixun/index.m3u8

凤凰卫视中文台[1280*720][1280*720],http://117.169.120.138:8080/live/fhchinese/.m3u8

鳳凰資訊[1280*720][1280*720],http://117.169.120.138:8080/live/fhzixun/.m3u8

感奥苔测试1,#genre#

星空卫视[768*576][768*576],http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=233
